"";"Overall"
"msp_0793";4,52018764166857
"msp_0794";0,464006461196602
"msp_0795";0
"msp_0796";0
"msp_0797";0
"msp_0798";0
"msp_0799";0,0527295453356972
"msp_0800";0,187076689296492
"msp_0801";0
"msp_0802";0
"msp_0803";0
"msp_0804";0,187101157422552
"msp_0805";0
"msp_0806";0,0245963412786909
"msp_0807";0
"msp_0808";0,0695113992658655
"msp_0809";0
"msp_0810";0
"msp_0811";0
"msp_0812";0
"msp_0813";0
"msp_0814";0,17030292820137
"msp_0815";0,0250786224802338
"msp_0816c";0
"msp_0817";0,0263873370028673
"msp_0818";0,220206408291343
"msp_0819";0
"msp_0820";0
"msp_0821";0,12656867282993
"msp_0822";0
"msp_0823";0
"msp_0824";0
"msp_0825";0
"msp_0826";0
"msp_0827";0
"msp_0828";0,30304746422167
"msp_0829";0
"msp_0830";0
"msp_0831";0,0573402462143328
"msp_0832";0,551195084054927
"msp_0833";0,151052640473393
"msp_0834";0
"msp_0835";0
"msp_0836";0
"msp_0837";0,0874474466824972
"msp_0838";0
"msp_0839";0,0247427480720164
"msp_0840";0,0481531943247704
"msp_0841";0
"msp_0842";0,37566930708302
"msp_0843";0,0258133477482094
"msp_0844c";0
"msp_0845";0
"msp_0846";0
"msp_0847";0,115024066567996
"msp_0848";0,0716905264650731
"msp_0849";0,14504269350552
"msp_0850";0,224443719363775
"msp_0851";0,543545388939015
"msp_0852";0,145140624931085
"msp_0853c";0,0177640242568323
"msp_0854";0,22794423467659
"msp_0855";0,202208740981928
"msp_0856";0,642294153073186
"msp_0857";0
"msp_0858";0,142341027639122
"msp_0859";0,103575514256683
"msp_0860";0,0262759525465645
"msp_0861";7,99994999584716
"msp_0862";0
"msp_0863";0
"msp_0864";0
"msp_0865";0
"msp_0866c";0
"msp_0867";0,0236853656757764
"msp_0868";0
"msp_0869";0
"msp_0870";0
"msp_0871";6,39103964171256
"msp_0872";0,124450629923316
"msp_0873";0,969845730319088
"msp_0874";1,28184742408069
"msp_0875";0
"msp_0876";0
"msp_0877";0,109819735673488
"msp_0878";0,0256211888319696
"msp_0879";0,426595488792262
"msp_0880";0
"msp_0881";0,144985786213852
"msp_0882c";0
